22.7895648085,39.4346830107,50
22.7894158548,39.4343648702,50
22.789190652,39.4348067893,50
22.7888101968,39.4346923203,50
22.789026841,39.4344437706,50
22.7891660921,39.4341401601,50
22.789411443,39.4339330004,50
22.7896022601,39.4336328063,50
22.7899410933,39.4337315951,50
22.7897282905,39.4340341899,50
22.7897993995,39.4343889886,50
22.7900748083,39.4341122732,50
22.7903026896,39.4338673313,50
22.7906439204,39.4340205075,50
22.790968557,39.4341364713,50
22.7907797312,39.4343666895,50
22.7905890537,39.4345941893,50
22.7903873888,39.434810242,50
22.7904233829,39.4342431363,50
22.7901891235,39.4344787865,50
22.7899819272,39.4347480941,50
22.7897546501,39.4349834063,50
22.7894253354,39.4350965031,50
22.7891275946,39.4352588948,50
22.7888667765,39.4350763625,50
22.7885722661,39.4349359665,50
22.7884686254,39.4352365333,50
22.7882265758,39.4354739294,50
22.7885762605,39.4356521446,50
22.7888206974,39.4354515679,50
22.7889091855,39.4358392037,50
22.789262099,39.4359464332,50
22.7895121634,39.4361081772,50
22.7896585827,39.4358028892,50
22.7891303686,39.4356221486,50
22.7894066674,39.4355260385,50
22.7896807674,39.4353586116,50
22.7899226858,39.4355653125,50
22.7900233244,39.4352535263,50
22.7902472012,39.4350780526,50
